Type,Measure,Transformation,value,Stat,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim,estimate_reg,std.error,statistic,p.value,conf.low,conf.high,df,outcome
D+ vs. D+,Party/Policy Bundle,Squared,-0.1,Mean,0.4514116687233055,0.009930658610072961,0.4318468932100157,0.47068625766848504,0.45143625607553683,0.451474575818729,1,0,0,1000,0.45141166872330546,0.010114755904870869,44.6290224864372,1.4584658734452882e-189,0.43154558172191265,0.47127775572469827,578.9669260706552,c_win
D+ vs. D+,Party/Policy Bundle,Squared,0.1,Mean,0.5485883312766944,0.009930658610072963,0.5293137423315151,0.5681531067899843,0.5485637439244632,0.5485254241812709,1,0,0,1000,0.5485883312766907,0.01011475590487087,54.23643797597845,4.135087192247278e-229,0.5287222442752979,0.5684544182780835,578.9669260706552,c_win
D+ vs. D+,Party/Policy Bundle,Squared,0.3,Mean,0.6888230822698067,0.018002442324208907,0.6538917667176892,0.7236373520568892,0.6891503945509626,0.6889777477947588,1,0,0,1000,0.6888230822698076,0.018658055764402107,36.91826688523571,2.7733653849818354e-104,0.6520795215502357,0.7255666429893795,254.92100892421672,c_win
D+ vs. D+,Party/Policy Bundle,Squared,0.5,Mean,0.7517238994196173,0.023010912896474733,0.704987497062179,0.7933650654726068,0.7520105135708628,0.7513366997758526,1,0,0,1000,0.7517238994196161,0.02318001686662431,32.42982538558822,1.8824598417016242e-71,0.7059387567133985,0.7975090421258338,156.90090573700093,c_win
D+ vs. D+,Party/Policy Bundle,Squared,0.7,Mean,0.810352424616854,0.022051693062398063,0.7655203214197243,0.8522691210649349,0.8085423884713243,0.8085558376249893,1,0,0,1000,0.8103524246168541,0.02233573906348471,36.28052881140827,1.9575641652566317e-67,0.7661389967585566,0.8545658524751516,122.66433908264561,c_win
D+ vs. D+,Party/Policy Bundle,Squared,0.9,Mean,0.8755463519954653,0.021127611668062735,0.8346602467010342,0.9170362815818888,0.8755183990804576,0.8756727579329172,1,0,0,1000,0.8755463519954649,0.021300504504867673,41.10448894745107,1.6827277676107245e-58,0.8332051265256543,0.9178875774652756,86.3970613417497,c_win
D+ vs. D+,Policy Rank,Absolute,-0.9,Mean,0.23991527989568812,0.028345794173658234,0.1845959054852891,0.29996195434084255,0.24014406777288505,0.2407055254872073,1,0,0,1000,0.23991527989568803,0.02866785721086978,8.36879010980706,1.1243525580385146e-13,0.18316476947509325,0.2966657903162828,122.08080199664849,c_win
D+ vs. D+,Policy Rank,Absolute,-0.7,Mean,0.28656233783204116,0.02154571253604215,0.2462721194931934,0.330733596557173,0.28617966852345283,0.28662301463685547,1,0,0,1000,0.2865623378320411,0.021949793706828896,13.055354490319763,2.260066737212338e-28,0.24327165484139357,0.32985302082268864,194.13037548236227,c_win
D+ vs. D+,Policy Rank,Absolute,-0.5,Mean,0.2893371737242078,0.016048432413362203,0.25871386265295654,0.3201801626977661,0.289011051181875,0.289199405352082,1,0,0,1000,0.2893371737242078,0.016163537548607297,17.90060949554561,1.020399993945172e-49,0.2575331451228026,0.321141202325613,310.2246227832007,c_win
D+ vs. D+,Policy Rank,Absolute,-0.3,Mean,0.3502902296168183,0.01275012423145597,0.32689696173299587,0.37540916411096853,0.3509341753968425,0.3507471897933831,1,0,0,1000,0.35029022961681844,0.012980289023618112,26.986319717492616,2.5928841923385394e-98,0.3247850887704926,0.37579537046314426,480.51471979974957,c_win
D+ vs. D+,Policy Rank,Absolute,-0.1,Mean,0.4314164965169291,0.009986783272671154,0.41218915218573304,0.45172535204498876,0.4315929917549346,0.4316286279409745,1,0,0,1000,0.4314164965169288,0.00982186682895251,43.92408327561685,5.421057395216919e-190,0.412127248590082,0.45070574444377565,602.5965473398927,c_win
D+ vs. D+,Policy Rank,Absolute,0.1,Mean,0.568583503483071,0.009986783272671154,0.5482746479550112,0.587810847814267,0.5684070082450654,0.5683713720590254,1,0,0,1000,0.56858350348307,0.009821866828952508,57.88955535489671,2.4576879594837053e-248,0.5492942555562231,0.5878727514099168,602.5965473398927,c_win
D+ vs. D+,Policy Rank,Absolute,0.3,Mean,0.6497097703831816,0.012750124231455969,0.6245908358890316,0.673103038267004,0.6490658246031575,0.6492528102066168,1,0,0,1000,0.6497097703831801,0.012980289023618115,50.053567312793206,9.706219566167604e-193,0.6242046295368543,0.6752149112295059,480.51471979974957,c_win
D+ vs. D+,Policy Rank,Absolute,0.5,Mean,0.7106628262757921,0.016048432413362207,0.6798198373022338,0.7412861373470435,0.7109889488181251,0.710800594647918,1,0,0,1000,0.7106628262757889,0.016163537548607294,43.967035318764246,2.5875236764780295e-135,0.6788587976743837,0.7424668548771941,310.2246227832007,c_win
D+ vs. D+,Policy Rank,Absolute,0.7,Mean,0.7134376621679588,0.02154571253604215,0.6692664034428268,0.7537278805068065,0.7138203314765472,0.7133769853631445,1,0,0,1000,0.713437662167958,0.021949793706828893,32.503160243642625,1.8445105574366064e-80,0.6701469791773105,0.7567283451586055,194.13037548236227,c_win
D+ vs. D+,Policy Rank,Absolute,0.9,Mean,0.760084720104312,0.028345794173658234,0.7000380456591575,0.8154040945147109,0.7598559322271149,0.7592944745127927,1,0,0,1000,0.760084720104311,0.028667857210869785,26.51348213832024,1.732623378120627e-52,0.7033342096837163,0.8168352305249058,122.08080199664849,c_win
D+ vs. D+,Policy Rank,Squared,-0.9,Mean,0.2278515545882006,0.03119824856336598,0.16724940396837723,0.2889366255348662,0.22762961132386278,0.22760824729682547,1,0,0,1000,0.22785155458820058,0.03169219756757836,7.189515782310297,1.6175255760251875e-10,0.16491597535123048,0.2907871338251707,92.8705834618625,c_win
D+ vs. D+,Policy Rank,Squared,-0.7,Mean,0.2687581994218736,0.02043557364381671,0.2297800388474502,0.30998025610252816,0.26809614206293464,0.2688774608343948,1,0,0,1000,0.2687581994218738,0.02043397873566163,13.152514392746903,9.059555098916812e-30,0.22849438910592412,0.30902200973782346,227.76183514494414,c_win
