variable,value,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
ideo,Extremely liberal,diff_dem_type_v,-0.19134045927992296,0.04518916985627124,-0.2798624819990624,-0.10570179435686838,-0.19178329293273041,-0.1917758639012066,0,1,0,1000
ideo,Liberal,(Intercept),0.4999999999999948,0.017720709053347567,0.4639580377768587,0.5337530169798237,0.5006631752614585,0.49974177187633234,1,0,0,1000
ideo,Liberal,diff_dem_type_u,-0.11806795131656052,0.02277506501127827,-0.161185180330271,-0.07188914814458548,-0.11782921996040802,-0.11762177143561356,0,1,0,1000
ideo,Liberal,diff_dem_type_v,-0.20775029117533134,0.030711107545190904,-0.2644982431857191,-0.1443693642614209,-0.20734913626789805,-0.20728376750755917,0,1,0,1000
ideo,Moderate,(Intercept),0.49999999999996847,0.011824825834011439,0.4759859920543986,0.5234734969290374,0.49964968925682285,0.4997496561669376,1,0,0,1000
ideo,Moderate,diff_dem_type_u,-0.10509537552845953,0.015140101534117786,-0.13405858799134768,-0.073675751663179,-0.10505200639060405,-0.1046739150933813,0,1,0,1000
ideo,Moderate,diff_dem_type_v,-0.17740672243718258,0.020771267682611613,-0.21755258774148542,-0.13696051771469814,-0.17788070757451138,-0.17745249590533654,0,1,0,1000
ideo,Slightly conservative,(Intercept),0.4999999999999963,0.021384054966930657,0.4590008694691533,0.5400714899747339,0.4993916043019554,0.49964651237423086,1,0,0,1000
ideo,Slightly conservative,diff_dem_type_u,-0.14552081032542247,0.028779016691609267,-0.19955127256900013,-0.08402567786226048,-0.14552694506050762,-0.14418919542990713,0,1,0,1000
ideo,Slightly conservative,diff_dem_type_v,-0.17028310023721693,0.03425368628985811,-0.23607607731317143,-0.10320736334708924,-0.17081510604709066,-0.17042943138619412,0,1,0,1000
ideo,Slightly liberal,(Intercept),0.49999999999999584,0.020441881571535578,0.4595162962851133,0.5433555325764228,0.49903747499546947,0.5000902457082099,1,0,0,1000
ideo,Slightly liberal,diff_dem_type_u,-0.14935756572267492,0.026527635272832098,-0.2026162663019391,-0.09975169253243993,-0.15014585870275018,-0.15037313189286206,0,1,0,1000
ideo,Slightly liberal,diff_dem_type_v,-0.2414166655240909,0.03163026295568659,-0.30387620712149777,-0.17610907358837216,-0.23988629750308244,-0.24073765325951438,0,1,0,1000
Education,<HS,(Intercept),0.5000000000000056,0.041498880044958206,0.4138400742951235,0.5774119994398212,0.4992339527727609,0.49915386478809187,1,0,0,1000
Education,<HS,diff_dem_type_u,-0.13499865907932915,0.0561029419617222,-0.24191709533371078,-0.022460405763567552,-0.133810692468114,-0.13417223437686396,0.014,0.986,0,1000
Education,<HS,diff_dem_type_v,-0.2510029861749398,0.0675842653576083,-0.3807984513575282,-0.12064592334609547,-0.25447508991860074,-0.25229513070663684,0.001,0.999,0,1000
Education,Assos.,(Intercept),0.49999999999999717,0.02277452475934282,0.45546205462578404,0.5440801766362693,0.4997676993155132,0.49980367819447796,1,0,0,1000
Education,Assos.,diff_dem_type_u,-0.12827005983192905,0.028113062724936702,-0.18267297997424126,-0.07331903744722311,-0.1267880138296465,-0.12741636825788447,0,1,0,1000
Education,Assos.,diff_dem_type_v,-0.18123661378149633,0.037072947566652345,-0.24958698608666094,-0.10572392228115443,-0.1808387460848366,-0.1800930282295109,0,1,0,1000
Education,BA/BS,(Intercept),0.49999999999997485,0.013143300003876465,0.47319823053133686,0.5245239882306272,0.5002420068671931,0.4997175163727538,1,0,0,1000
Education,BA/BS,diff_dem_type_u,-0.11681566197404772,0.017172358654619805,-0.1503936635276953,-0.08301069313686057,-0.11600117268341038,-0.11647509807290524,0,1,0,1000
Education,BA/BS,diff_dem_type_v,-0.19223305170476107,0.022096166339058598,-0.23480873581038025,-0.14949300205788965,-0.19120181402739056,-0.19126405611774994,0,1,0,1000
Education,Grad,(Intercept),0.49999999999999706,0.020522682055888565,0.4606173797504608,0.5425652972985348,0.49938387162716424,0.4996835441640893,1,0,0,1000
Education,Grad,diff_dem_type_u,-0.11535314704330883,0.026546466788358765,-0.16909828568062965,-0.06570035513072317,-0.11422375119214968,-0.11471980352571286,0,1,0,1000
Education,Grad,diff_dem_type_v,-0.1882887150842047,0.03326278419781981,-0.2574825105304717,-0.12578281320039122,-0.18868808962297262,-0.18852254106683738,0,1,0,1000
Education,HS,(Intercept),0.5000000000000049,0.013301753351788343,0.47423860167477927,0.5247922669873303,0.500108025442364,0.49993343701737125,1,0,0,1000
Education,HS,diff_dem_type_u,-0.10921990806762281,0.0169624499086517,-0.143243857189152,-0.07649581802376783,-0.10845734026075998,-0.10898335072140432,0,1,0,1000
Education,HS,diff_dem_type_v,-0.1803666481810203,0.022459930859950315,-0.22356142033595894,-0.1347497721186567,-0.1805526956037033,-0.18011129248664634,0,1,0,1000
Education,Some college,(Intercept),0.49999999999998784,0.013830842415759442,0.47194799934897946,0.5266455030233421,0.500474904258525,0.49986945487902346,1,0,0,1000
