"","V1","V2"
"948",1382343,1
"949",1383231,1
"950",1384885,11
"951",1389924,5
"952",1392023,3
"953",1392618,14
"954",1395027,8
"955",1399323,9
"956",1400388,14
"957",1402484,5
"958",1403780,3
"959",1405943,2
"960",1406009,5
"961",13927625,11
"962",13931210,10
"963",13932740,10
"964",13937106,24
"965",13937328,6
"966",13939190,2
"967",13941064,36
"968",13941405,13
"969",13943011,6
"970",13944891,3
"971",13945756,6
"972",13952255,3
"973",13953191,0
"974",13953265,8
"975",13956385,7
"976",13960601,6
"977",13961103,1
"978",13962052,5
"979",13962400,1
"980",13962539,13
"981",13963181,13
"982",13969301,20
"983",13970871,28
"984",13972029,1
"985",13972705,7
"986",13973585,17
"987",13974214,5
"988",13975315,1
"989",13976819,9
"990",13979189,9
"991",13980038,6
"992",13980227,4
"993",13982327,6
"994",13984589,1
"995",13985728,1
"996",13988019,13
"997",13990194,14
"998",13991519,4
"999",13991864,1
"1000",13992223,8
"1001",13992421,8
"1002",13998361,2
"1003",14002007,3
"1004",14003655,7
"1005",14005711,5
"1006",14005992,14
"1007",14006822,2
"1008",14007990,25
"1009",14008189,2
"1010",14014141,0
"1011",14014322,19
"1012",14016147,12
"1013",14016660,7
"1014",14018454,9
"1015",14018776,10
"1016",14026283,4
"1017",14026619,11
"1018",14027869,5
"1019",14028505,1
"1020",14029034,13
"1021",14031552,10
"1022",14032148,5
"1023",14032455,4
"1024",14033637,8
"1025",14034865,5
"1026",14035432,15
"1027",14036010,8
"1028",14037505,5
"1029",14037531,8
"1030",14038992,12
"1031",14047022,1
"1032",14048949,6
"1033",14053613,6
"1034",14053778,9
"1035",14055546,9
"1036",14057653,9
"1037",14065548,4
"1038",14068648,5
"1039",14072465,5
"1040",14074953,9
"1041",14080170,5
"1042",14081693,6
"1043",14086074,9
"1044",14086451,1
"1045",14086704,6
"1046",14091928,14
"1047",14094042,2
"1048",14094704,4
"1049",14095480,10
"1050",14095875,18
"1051",14100275,4
"1052",14100597,12
"1053",14101521,12
"1054",14106343,0
"1055",14106356,7
"1056",14108777,5
"1057",14116651,0
"1058",14117195,5
"1059",14119904,7
"1060",14120502,14
"1061",14123286,16
"1062",14125902,13
"1063",14126341,1
"1064",14127263,2
"1065",14129835,14
"1066",14129986,47
"1067",14131561,0
"1068",14131698,2
"1069",14131752,10
"1070",14132300,28
"1071",14136172,2
"1072",14137519,1
"1073",14137871,9
"1074",14137950,3
"1075",14139012,3
"1076",14141702,24
"1077",14141751,1
"1078",14141955,13
"1079",14145045,7
"1080",14146736,7
"1081",14146874,3
"1082",14149095,3
"1083",14150373,2
"1084",14155854,4
"1085",14156079,11
"1086",14157742,2
"1087",14157901,13
"1088",14159395,7
"1089",14160063,12
"1090",14161673,14
"1091",14162366,8
"1092",14165012,6
"1093",14165738,8
"1094",14165743,5
"1095",14166282,16
"1096",14167499,11
"1097",14167563,4
"1098",14168109,12
"1099",14168392,12
"1100",14169798,3
"1101",14171212,16
"1102",14171727,2
"1103",14174829,23
"1104",14175279,0
"1105",14176988,3
"1106",14178164,19
"1107",14178532,17
"1108",14179241,3
"1109",14179338,9
"1110",14180697,3
"1111",14181791,11
"1112",14182503,1
"1113",14182816,2
"1114",14184291,13
"1115",14187093,7
"1116",14187147,17
"1117",14187213,3
"1118",14193537,10
"1119",14193891,5
"1120",14196524,2
"1121",14197132,3
"1122",14197419,11
"1123",14197839,9
"1124",14200434,13
"1125",14206804,0
"1126",14209845,11
"1127",14209950,12
"1128",14210814,1
"1129",14210834,5
"1130",14211450,20
"1131",14214830,10
"1132",14216280,12
"1133",14216824,9
"1134",14217590,16
"1135",14221275,20
"1136",14221619,2
"1137",14222648,2
"1138",14223409,12
"1139",14225391,7
"1140",14225547,1
"1141",14228053,1
"1142",14230795,3
"1143",14235819,8
"1144",14236667,13
"1145",14237078,5
"1146",14238218,5
"1147",14239514,15
"1148",14241862,3
"1149",14242102,4
"1150",14243596,6
"1151",14245250,4
"1152",14245370,16
"1153",14246017,17
"1154",14247737,0
"1155",14249027,11
"1156",14249476,0
"1157",14250140,9
"1158",14250984,9
"1159",14252569,16
"1160",14253134,8
"1161",1408775,9
"1162",1408962,15
"1163",1409915,0
"1164",1410063,5
"1165",1411966,5
"1166",1412494,10
"1167",1412761,5
"1168",1413773,5
"1169",1414107,6
"1170",1414697,1
"1171",1418184,2
"1172",1423252,0
"1173",1423475,0
"1174",1424302,15
"1175",1425305,8
"1176",1426899,3
"1177",1427202,13
"1178",1427584,6
"1179",1428112,6
"1180",1429527,0
"1181",14257841,19
"1182",14258266,5
"1183",14258700,6
"1184",14259212,4
"1185",14261222,1
"1186",14261813,4
"1187",14263109,6
"1188",14263947,10
"1189",14264636,5
"1190",14265453,14
"1191",14266257,10
"1192",14267037,14
"1193",14267737,1
"1194",14268661,2
"1195",14270320,2
"1196",14270796,12
"1197",14274636,27
"1198",14275108,1
"1199",14276148,4
"1200",14279745,24
"1201",14281874,21
"1202",14283635,11
"1203",14283779,11
"1204",14287338,8
"1205",14287787,2
"1206",14290904,2
"1207",14292310,11
"1208",14294927,5
"1209",14300131,17
"1210",14303559,32
"1211",14307720,3
"1212",14310372,18
"1213",14311463,2
"1214",14313029,18
"1215",14313502,5
"1216",14315062,4
"1217",14315795,21
"1218",14318195,5
"1219",14322466,16
"1220",14323701,0
"1221",14324959,4
"1222",14327331,3
"1223",14330334,0
"1224",14331612,14
"1225",14332700,14
"1226",14336655,27
"1227",14337903,4
"1228",14338536,13
"1229",14338791,3
"1230",14341755,0
"1231",14342157,3
"1232",14343454,4
"1233",14347701,4
"1234",14347972,3
"1235",14348773,6
"1236",14353989,8
"1237",14355945,8
"1238",14359134,8
"1239",14360056,14
"1240",14363194,37
"1241",14364806,11
"1242",14374234,4
"1243",14374514,6
"1244",14376572,7
"1245",14380085,8
"1246",14382834,17
"1247",14383269,27
"1248",14383722,25
"1249",14383898,12
"1250",14384163,12
"1251",14384763,10
"1252",14386979,23
"1253",14389475,14
"1254",14394842,18
"1255",14396612,3
"1256",14400083,0
"1257",14400981,23
"1258",14401042,8
"1259",14403050,10
"1260",14403348,22
"1261",14404486,13
"1262",14410228,2
"1263",14411972,16
"1264",14413028,18
"1265",14413367,10
"1266",14413430,15
"1267",14416929,15
"1268",14417785,27
"1269",14421181,25
"1270",14421620,3
"1271",14422049,18
"1272",14422133,12
"1273",14422496,18
"1274",14422993,1
"1275",14423682,7
"1276",14424988,19
"1277",14425363,33
"1278",14426319,7
"1279",14431335,2
"1280",14435990,0
"1281",14436436,19
"1282",14436772,4
"1283",14438176,14
"1284",14439640,3
"1285",14440408,1
"1286",14441515,4
"1287",14443038,18
"1288",14444514,0
"1289",14447509,0
"1290",14447999,15
"1291",14448035,4
"1292",14449768,13
"1293",14454059,7
"1294",14454794,28
"1295",14455043,2
