r_id,r_gender,r_age,r_educ,r_income,r_party,r_strength,r_lean,condition,profile,cage,cparty,chealthcare,cmarriage,pref,rate,partisan,cpartyp,cmarriagep,chealthcarep,cagep,cvacationm,crelativem,chighwaym,cschoolm,cmaritalm,cdogm,cweddingm,cicecreamm,celectionm,cvotem,ctripm,cstonem,cclassm,cdinosaurm,creportm,cdaybornm,cfavcolorm,cyearbornm,cnamem,cfoodm,cbirthdaym,cclassroomm,cbaseballm,cbeveragem,cseasonm,ctreem,ccomposerm,caddressm,cdoorm,ccarcolorm,cteamm,cemailm,cshopm,cwarm,cgrandm,wave
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,O1,2,2,2,1,1,3,1,1,2,1,2,4,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_1eFxOEl6mNDz8Du,2,37,3,2,2,0,NA,5,O2,3,1,2,2,0,1,1,2,1,1,3,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,A1,3,2,1,1,0,2,1,2,1,1,3,3,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,A2,3,1,2,2,1,3,1,1,2,2,3,4,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,B1,3,2,2,2,1,3,1,2,2,2,3,4,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,B2,2,1,1,2,0,2,1,1,2,1,2,2,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,C1,2,2,2,1,1,6,1,2,1,2,2,3,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,C2,3,2,2,2,0,3,1,2,2,2,3,3,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,D1,1,1,2,2,0,3,1,1,2,2,1,2,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,D2,2,2,2,1,1,6,1,2,1,2,2,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,E1,2,2,1,2,0,2,1,2,2,1,2,1,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,E2,2,1,2,2,1,3,1,1,2,2,2,4,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,F1,2,2,2,1,1,6,1,2,1,2,2,2,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,F2,3,2,2,2,0,3,1,2,2,2,3,3,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,G1,3,1,2,2,1,3,1,1,2,2,3,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,G2,1,1,1,2,0,2,1,1,2,1,1,4,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,H1,3,1,2,2,0,3,1,1,2,2,3,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
R_0Dv2kktvGMCvSgN,1,31,5,2,4,NA,1,5,H2,3,1,2,1,1,6,1,1,1,2,3,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
