"r_id","r_gender","r_age","r_educ","r_income","r_party","r_strength","r_lean","profile","access","balcony","bar","boats","call","cars","cfloor","cfurniture","channels","chocolate","cinternet","closet","coffee","color","cview","decor","door","elevators","fan","flooring","food","hallway","hours","kitchen","lamps","lights","linens","menu","office","parking","pillows","scent","service","shower","sinks","size","theme","thermo","towels","tv","valet","windows"
"R_1QcofOqjGhL2JPa",1,38,6,4,2,0,NA,2,1,2,1,2,1,1,1,2,1,2,2,2,2,4,1,3,3,1,1,2,2,3,3,2,3,1,1,2,1,1,2,3,2,3,1,1,2,2,1,1,1,2
"R_1QcofOqjGhL2JPa",1,38,6,4,2,0,NA,3,1,1,1,1,2,1,1,2,3,3,2,2,3,4,2,3,3,1,2,2,1,1,3,2,2,1,1,2,1,1,4,3,2,2,1,1,2,3,1,2,1,1
"R_1qdMB0s9w12QWD1",1,31,5,4,3,NA,-1,1,1,1,3,1,2,1,1,2,3,2,1,2,2,4,2,2,2,2,1,3,4,2,1,3,3,1,1,2,2,1,2,3,3,2,1,2,2,1,1,2,1,1
"R_1qdMB0s9w12QWD1",1,31,5,4,3,NA,-1,2,2,2,3,1,2,1,3,2,3,4,1,1,2,1,2,3,3,1,2,2,4,3,3,2,3,1,1,2,1,1,4,1,4,3,2,1,2,1,1,1,1,2
"R_1qdMB0s9w12QWD1",1,31,5,4,3,NA,-1,3,1,1,2,1,1,1,2,2,3,1,2,2,2,4,2,1,2,2,1,3,4,3,2,3,2,2,2,1,1,2,2,3,4,1,1,3,3,2,1,1,1,1
"R_1QEEGj57xx7yiAG",2,51,5,3,3,NA,1,1,1,1,2,2,2,3,1,2,2,4,1,2,1,2,1,2,1,1,2,1,1,3,1,2,3,1,3,1,2,3,4,1,4,3,2,2,1,1,1,1,2,1
"R_1QEEGj57xx7yiAG",2,51,5,3,3,NA,1,2,3,1,2,1,1,3,3,1,3,4,2,1,1,4,2,1,2,1,2,1,2,3,1,1,3,2,3,1,2,2,4,1,4,3,2,2,3,1,1,2,2,1
"R_1QEEGj57xx7yiAG",2,51,5,3,3,NA,1,3,3,1,2,1,2,3,3,2,2,4,2,1,1,4,2,2,2,1,2,1,2,3,1,2,3,2,3,1,2,3,1,1,4,3,2,1,3,1,1,1,2,2
"R_1QEouyyCExA7k8j",2,26,5,1,3,NA,0,1,1,1,3,1,1,1,3,2,2,4,1,2,1,1,2,1,2,1,2,2,4,1,3,2,3,2,3,2,1,2,3,3,4,3,1,1,1,1,1,1,2,1
"R_1QEouyyCExA7k8j",2,26,5,1,3,NA,0,2,3,2,2,2,2,3,2,1,1,2,1,1,2,3,1,2,2,2,1,2,1,2,2,3,2,2,3,1,2,1,4,1,3,2,2,2,3,3,2,2,1,1
"R_1QEouyyCExA7k8j",2,26,5,1,3,NA,0,3,2,1,3,2,1,2,3,2,3,3,1,2,3,2,1,2,3,1,1,1,2,3,1,2,3,2,3,1,2,3,4,2,3,2,1,1,2,3,2,1,1,2
"R_1qfILlBtdn79M0E",2,23,6,4,1,0,NA,1,3,1,3,2,1,1,3,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1,3,1,2,2,2,1,2,3,2,3,3,3,1,2,3,3,1,1,1,1
"R_1qfILlBtdn79M0E",2,23,6,4,1,0,NA,2,1,2,3,2,1,1,1,2,1,4,1,2,1,3,1,3,1,2,2,1,2,3,3,2,3,2,3,1,2,3,2,1,3,1,2,3,3,3,2,1,2,2
"R_1qfILlBtdn79M0E",2,23,6,4,1,0,NA,3,2,1,3,1,1,1,1,2,1,3,1,2,1,4,2,1,1,1,1,1,1,2,3,2,1,2,3,1,2,3,3,1,1,1,1,2,1,3,2,1,2,1
"R_1QFqJqzJQxc2Lrm",2,47,5,4,1,1,NA,1,2,1,2,2,1,3,2,1,1,4,1,1,1,3,1,1,2,2,2,1,1,1,1,3,3,2,3,1,2,3,3,1,4,1,2,2,3,3,1,1,2,2
"R_1QFqJqzJQxc2Lrm",2,47,5,4,1,1,NA,2,2,1,2,1,2,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,2,3,1,2,3,3,3,4,1,2,2,3,4,2,1,2,1
"R_1QFqJqzJQxc2Lrm",2,47,5,4,1,1,NA,3,2,1,2,1,2,3,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,3,2,2,2,1,2,3,3,3,4,1,2,2,3,4,2,1,2,1
"R_1QFyKjyiKCHdDsp",2,53,2,2,2,0,NA,1,2,1,1,1,1,2,3,2,1,2,2,1,2,1,1,1,3,2,2,2,2,3,3,1,3,1,2,2,2,2,3,3,4,4,2,1,1,4,2,2,1,1
